"Node","Betweenness","Closeness","Eigenvector","PageRank","InDegree","OutDegree","TotalDegree","LocalClustering"
"Tuvalu",0,0.489690721649485,0.0331369850534622,0.00307282772174507,1,0,1,0
"Taiwan",0,NA,0,0.00305869786746602,0,0,0,0
"Tanzania",0.000142414689453017,0.527777777777778,0.27507710005395,0.00677120823007277,22,1,23,0.256916996047431
"Ukraine",0,0.512129380053908,0.181251500576043,0.00400156516672715,13,0,13,0.192307692307692
"Uganda",0,0.519125683060109,0.24137824024389,0.0112744330832681,17,0,17,0.308823529411765
"United States",0,0.570570570570571,0.36568842596468,0.00307282772174507,1,48,49,0.0722789115646258
"Uruguay",0,0.489690721649485,0.0331369850534622,0.00307282772174507,1,0,1,0
"Uzbekistan",0,0.512129380053908,0.203355131759796,0.00378630494364233,13,0,13,0.192307692307692
"Vatican City",0,NA,0,0.00305869786746602,0,0,0,0
"St. Vincent and the Grenadines",0,0.503978779840849,0.100433074474954,0.00423742719979727,7,0,7,0.19047619047619
"Venezuela",0,0.509383378016086,0.0847279237226689,0.00307282772174507,1,11,12,0.181818181818182
"British Virgin Islands",0,NA,0,0.00305869786746602,0,0,0,0
"U.S. Virgin Islands",0,NA,0,0.00305869786746602,0,0,0,0
"Vietnam",0.000240584038493446,0.521978021978022,0.245163353464616,0.00812640876463951,21,1,22,0.186147186147186
"Vanuatu",0,0.498687664041995,0.0858631068885177,0.00317953599018416,4,0,4,0.333333333333333
"Wallis and Futuna",0,NA,0,0.00305869786746602,0,0,0,0
"Samoa",0,0.498687664041995,0.0858631068885178,0.00317953599018416,4,0,4,0.333333333333333
"Kosovo",0,0.5,0.100631940566186,0.00321573310586484,5,0,5,0.3
"Yemen",0,0.517711171662125,0.238686001704222,0.00473996955999639,16,0,16,0.25
"Mayotte",0,NA,0,0.00305869786746602,0,0,0,0
"South Africa",4.00973397489077e-05,0.509383378016086,0.131279668280729,0.00317291501466019,4,6,10,0.466666666666667
"Zambia",0,0.517711171662125,0.219193336899364,0.00538249319929904,16,0,16,0.241666666666667
"Zimbabwe",0,0.513513513513513,0.230058010756243,0.00483870338357597,18,0,18,0.209150326797386
"IMF",0,0.575757575757576,0.537074633455794,0.00305869786746602,0,94,94,0.0100514258999532
"World Bank",0,0.954773869346734,1,0.00305869786746602,0,184,184,0.068059012810394
